,country_name,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022
0,Burkina Faso,1.35122001171112,1.51733005046844,,2.16083002090454,2.2746000289917,2.42068004608154,2.94471001625061,3.28111004829407,3.36725997924805,3.94350004196167,4.3672399520874,4.60237979888916,4.92263984680176,4.9262900352478,5.42630004882812,5.85665988922119,6.34666013717651,6.93696022033691,7.6837100982666,9.36093997955322,9.73007965087891
1,Cabo Verde,3.43290996551514,4.14111995697021,5.6029200553894,7.11931991577148,8.20090007781982,9.36305046081543,11.6162996292114,14.5644397735596,17.2066402435303,19.6212100982666,19.3967304229736,21.2792301177979,21.7901191711426,20.5760192871094,21.0570201873779,21.1641502380371,20.2174491882324,,,,
2,Chile,40.2664985656738,43.5181999206543,44.3284606933594,50.2735595703125,49.3216896057129,54.7230491638184,56.7743988037109,59.9912910461426,66.3445205688477,70.8241806030273,75.0770721435547,79.8703384399414,83.6629791259766,86.4181137084961,88.8458862304688,89.921989440918,91.1974792480469,92.0659713745117,89.1124877929688,96.2227935791016,99.3372802734375
3,Colombia,26.5130996704102,,29.5034599304199,32.253978729248,34.3662109375,35.4785308837891,37.9448013305664,39.5088005065918,41.529670715332,45.2873306274414,47.4669914245605,50.7474899291992,53.1794395446777,54.7961311340332,57.1437492370605,58.3960418701172,57.3205413818359,56.6663017272949,55.7331085205078,58.3159217834473,59.2901382446289
4,"Congo, Dem. Rep.",,,,,4.30008983612061,4.28283023834229,5.36045980453491,6.35163021087646,,7.69432020187378,7.80960988998413,6.54968023300171,,,6.07901000976562,,,,6.66692018508911,,
5,Costa Rica,,,25.9932804107666,,,,,,,44.9357299804688,47.3161315917969,47.8412284851074,50.7579116821289,51.6519317626953,52.1316299438477,54.4580307006836,52.8686790466309,54.7189712524414,,,
6,Cuba,27.4472808837891,32.5828590393066,52.4897499084473,60.205940246582,84.9542770385742,105.414001464844,117.719940185547,114.488418579102,94.1727066040039,79.0247268676758,61.7317886352539,47.9959983825684,40.5119895935059,36.2177200317383,34.4567909240723,40.4316596984863,41.5943794250488,43.9937782287598,45.9299087524414,51.0785484313965,41.4838562011719
7,Dominican Republic,,33.6751098632812,,,,,,,48.5968780517578,47.6470642089844,48.6290016174316,46.3571929931641,49.3192710876465,51.7471084594727,54.4990005493164,59.9155883789062,63.146240234375,64.3841323852539,58.7264099121094,56.4690818786621,55.1665306091309
8,Eswatini,4.42417001724243,,5.32836008071899,4.68316984176636,4.45237016677856,,,,,6.76452016830444,,6.17659997940063,,,,,,,,,
9,Ethiopia,1.65718996524811,2.35127997398376,2.65906000137329,2.85401010513306,,,3.42407989501953,4.96265983581543,6.83386993408203,7.17573022842407,7.59986019134521,,7.73872995376587,,,,,,,,
10,Ghana,,,,5.06897020339966,4.57463979721069,5.71916007995605,7.70093011856079,8.11513996124268,,11.156060218811,11.4314603805542,11.763578414917,15.2124500274658,15.726619720459,14.2144002914429,16.3660793304443,16.0154399871826,17.4338893890381,18.6487197875977,19.1863193511963,20.3897304534912
11,Guyana,,7.25076007843018,10.431209564209,10.9353199005127,10.9832801818848,11.0615100860596,10.5220699310303,9.95514011383057,10.8050403594971,11.1490097045898,11.6349601745605,,,,,,,,,,
12,Mauritius,15.1241102218628,15.7577295303345,17.2851009368896,21.0529594421387,23.6054592132568,24.5238494873047,27.0272006988525,31.3993797302246,33.0799903869629,34.2265090942383,40.3749504089355,41.402400970459,40.038200378418,37.7607383728027,38.4107704162598,39.6618804931641,40.4078102111816,42.9878692626953,42.537841796875,43.9577217102051,44.2026786804199
13,Mozambique,0.727970004081726,0.984969973564148,1.21905994415283,1.50230002403259,2.22429990768433,3.16519999504089,3.64827990531921,3.95149993896484,4.7514500617981,5.04203987121582,5.3305401802063,5.70935010910034,6.34957981109619,6.81003999710083,7.38789987564087,7.24044990539551,7.45408010482788,7.30147504806519,,,
14,Panama,40.8190803527832,44.3337516784668,43.1405601501465,41.7703094482422,42.7828216552734,42.9800300598145,43.0983009338379,42.9887313842773,43.9842414855957,41.9725303649902,43.8421783447266,,44.9672698974609,47.9322700500488,48.728271484375,,,,45.2206611633301,53.0445899963379,58.173511505127
15,Peru,30.157190322876,30.2261905670166,32.0726013183594,32.374210357666,33.8254699707031,,,,,,,,,,73.330192565918,71.2465515136719,,,,,
16,Rwanda,1.87186002731323,2.34143996238708,2.73148989677429,2.85111999511719,3.64229989051819,3.88545989990234,4.18300008773804,5.0719199180603,5.77316999435425,6.83723020553589,6.70939016342163,6.23149013519287,7.35862016677856,7.53125,7.57807016372681,7.34488010406494,6.76095008850098,6.31429004669189,7.56710004806519,7.35958433151245,7.41325998306274
17,Tanzania,0.696410000324249,0.893930017948151,1.20785999298096,1.41761004924774,,1.45642995834351,,,2.1443920135498,,4.03181934356689,3.75791764259338,,4.15589189529419,3.94585990905762,,,3.02422857284546,7.50897979736328,3.70787215232849,5.43237113952637
18,Uganda,3.54973006248474,3.78515005111694,3.66168999671936,,3.55641007423401,,3.79364991188049,4.17582988739014,3.89966988563538,4.35145998001099,3.72024011611938,4.02473878860474,4.57403993606567,4.91559410095215,4.75620269775391,,,,,,
19,Uruguay,39.5832290649414,41.7629699707031,42.7656097412109,44.3836708068848,45.3399810791016,50.3921318054199,51.0627593994141,50.9438095092773,51.8884315490723,52.5558204650879,54.7069091796875,59.9512596130371,59.8266983032227,57.7897186279297,59.6462898254395,59.7518882751465,60.2781295776367,61.9644317626953,64.933219909668,75.17138671875,76.3977432250977
