,country_name,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Tanzania,0.3218901131668647,3.9381660512077135,2.8621205097980646,2.049201688797019,1.1875844338084072,0.3425647111746255,-4.124921343201046,-1.362889205408474,-4.832734886388068,-2.366315269320294,-2.531359188370593,-5.253489921273789,-5.551152099168958,-0.24154795338686078,3.6702525278387936,5.8361868184113135,3.147923677230126,1.3298355999610065,-2.0439262147854067,-6.328630187675005
1,Burkina Faso,-42.889752110735394,9.687795254124328,8.539057259076136,6.380142434024575,8.902250724249052,10.153672012937188,6.615910727585112,2.495838619601287,5.3998970641125315,4.13728722141199,3.3906263227555695,2.8840049445798406,3.408221383015579,3.5946833213639797,3.507227303964253,3.490120963336928,-0.9980758205747133,-2.2664529144103556,-1.462910730129985,-7.441826525818245
2,Eswatini,0.0,7.01539496011018,3.6815557094396842,6.307001404825358,4.3852037075047745,1.079262516444613,1.0677388116766557,6.3202083874802,1.513803138492659,1.5491464229976828,1.494543368760938,2.078103757284193,1.42100726195003,2.177442192807761,-0.5802801346589486,-0.20240253069735936,-0.3278464440110886,0.0,0.0,0.0
3,Uruguay,2.160513251091207,-0.6845720109660715,-2.5587473429390712,0.12717639839096226,-4.630784170984889,-2.5143438753827727,0.5771569917250507,4.261497335337262,1.7363681856467466,0.23362247940086836,0.7576163165615288,0.7266937294864303,0.6273313280995652,1.3029507421710855,1.5921273294250846,-0.256985280809056,0.5191668756632956,-0.8805617943955627,2.6994094945172473,0.759505316002349
4,Chile,-4.041947276142671,2.5877319040201723,0.3621191563455297,0.15732347218997864,0.2036403687924879,0.17559680167062194,-1.407260710539728,-0.7180981953630496,-0.0338654050295802,-0.6593671904578547,4.336560887080103,0.2779478258189362,0.4152084666200719,0.21671581135767393,0.30421275664819397,0.50074162303064,0.4337376321138577,-1.0714491531903962,1.2992688693859742,0.10767272394542665
5,Cuba,-1.1527286570011321,-0.11854589961902846,0.6146156823052744,0.26570873841216147,-0.46049552478816247,-0.6313713400810352,-0.4735688245628308,-0.12334741311158473,-0.41416783404129237,-0.49974867893692765,0.0619252028597864,3.939874847699565,0.08417976545185604,0.6965086656221405,0.3242291945254312,0.10820255317659652,0.36230123961959193,0.5234577343051592,-1.4892064616702,1.7191542382927787
6,Mozambique,0.0,0.0,8.60808065676591,4.017398092857781,7.49551426013833,5.197034433571375,2.3153477277847885,2.209293243369585,-2.1227017776240373,-0.9584040121904182,7.36903543004974,-0.5199244610907382,0.6810295691039225,-5.114952369192081,5.212545728783461,-1.7398990986723202,3.129475388212773,6.9203568397480275,-6.742517489483301,5.643001415081816
8,Peru,-3.862967957236031,1.3607018364321957,0.3548974930807951,1.407015825676931,1.6049212824104078,-0.7280089224588161,1.5339399998132985,1.2237727801119178,-0.5835041896331691,-3.5541731965387187,3.087775164481693,-2.174466986167973,-0.2500753345928644,1.091167064934917,-1.6038182466313815,-0.29694939009431787,1.2885312232549824,1.9419428636238627,0.5916316942973224,0.731285810862093
9,Dominican Republic,4.069633456590953,-4.31530531686252,1.2409932559821635,0.016387645716460723,8.260219455226569,-2.7458586212071405,2.2549069464620803,-2.107785718200504,-0.4466967381802356,-0.6250578168007861,1.2038358616777936,-0.27591195852436434,2.004625175501439,-0.6001681038270529,-1.4880689136613732,-1.0032955829546208,4.361442271792082,-4.2330737632075355,-7.202630486604075,2.576077013783964
10,Ethiopia,0.0,6.449939865860435,16.3447078702035,8.788783364238348,8.74452602455899,6.355277625157416,-0.47722371571468714,-0.2349706801746676,3.1102750249413726,0.9532614115975401,1.338649387360896,0.42923854533601596,-0.15963847993460606,2.6838675405847923,2.613718790367962,0.0,3.722437797613977,3.588845264972772,-7.948996816005197,-12.467262417187968
11,Ghana,0.0,6.073558587401343,7.438203757933816,5.068146714766767,6.574672447775976,5.086207217708797,0.006689131625711151,2.5137606360544074,2.4521202036268974,2.436840215742594,6.461832170216219,-4.372435920492499,4.718485192925992,-0.9017512257447793,-1.2780068265141709,-0.21945717070973517,2.372425553879946,0.6869138279049782,1.8055402724802685,0.05677409170487435
12,Colombia,0.0,0.0,2.5325489451119725,1.8506287782266106,1.663280414647526,1.0224141786090835,2.591392848076661,-0.929870438975258,-0.5761186739577451,-3.2122207084178687,0.6084956558013882,-1.7233337340305557,-0.1275251057567584,0.3225501082199086,-0.6238080563815166,-0.21277253381224145,-0.3431190150191085,-1.3067357298602278,0.42823164172977574,-1.4665679164683783
13,Costa Rica,0.0,0.0,-0.30621894015746165,4.292453497748581,0.10265659328355731,0.9852545041379165,3.8813299804290167,0.9483101742555483,0.45512489814869905,0.9298563700280488,1.8764596003362883,1.7083082391856792,0.2166712977193357,1.056738499834513,1.5050582752696837,2.9134349519757397,4.535167322186047,-0.8905627163400286,1.7726302050888791,-3.713007256825466
14,Uganda,0.0,-5.575631246247731,-4.320761556704275,0.8416181571138569,1.2526690774138123,2.168736892632035,1.905117592840412,-0.8512730221048789,-5.742353751539387,-0.03203082483965374,0.1917556499425484,0.7665014384627449,-6.748050334497904,1.5221721877717178,-2.0525132233907186,0.0,0.0,0.0,0.0,0.0
15,Rwanda,0.0,7.324210595057801,5.322802451297502,7.551047922345891,5.386110554320311,0.9274973606184442,3.5866236723452274,2.4843994748673204,1.6151529957770583,1.197346907569929,-19.562687374534164,16.014390527281215,-1.934400846791845,1.4000157940602598,-0.06984067679454992,-0.3866586113856264,2.1249289594113994,3.610052921812917,3.4842689681252743,-1.197697063301324
