,country_name,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022
0,Mozambique,0,0,20.63381940541284716392654093,-3.172609417099415694074064322,0,0,22.14440217016025115145623231,18.12969057665919403595021411,4.293015383434135312579918653,-1.146133700783732776279163216,8.605653412462121808683580038,7.590271297977859431921859543,-7.438780124208663518936474273,-3.493097093973659790402444918,-5.416772911425346029426634593,-1.765922245120754498788717793,16.63588172708738508573301867,5.665708197595687279958085134,-2.177852798011682939906317719,-5.169574492083010528116526533
1,Cuba,3.862536629022889953139162288,3.293182384414896257768438805,2.819861020040994165594949512,-14.21331296714226717155988602,31.03662569253816632810668290,18.45998945737645266114675013,-6.644960451129810568001952396,-2.190880334720524881680447096,-5.007471642858887704222376605,-5.271437374561099827493302817,-7.617647918391005848264565662,-9.972427374092896406161928466,-6.704488840311309423542694018,0.5555531911724074873587291381,0,0.1877058985044160599919482457,0.1873542235756673810320999736,1.872963868934997912850592212,1.838528887158584918740399382,0
2,Uruguay,-10.93748026825041065553428561,20.85524331040348119692660738,8.609982362363539763479715547,5.226633991678298103550756483,0,0,0,22.62675814124251821984382010,18.45172985424668106987146316,-1.345666328807873842553399076,3.551618553898014305993814504,0.6706893177017671322413521713,-1.428997320678988686938584092,3.752172133280140734616137011,1.229777005811819346326011109,4.204514975534249161942498287,0.5369625389881533600355101629,-1.845578741794503137825623865,-1.810732519984209369113033189,1.046256836950677071373362669
4,Chile,-3.213784761929534058885745836,-9.585343355696302466222611112,-7.420121766701280089421061961,-7.317304875770801797805756951,6.348703070813307503139177429,17.28154181417457703552692888,12.20654233572481745883263984,-1.532868655158109354479487584,-3.050693014945627310196336852,5.987721389775720920385887232,5.649448173110112987166102242,4.475232647535899842245813726,3.203503865280510831334048192,9.432690303128165177564522814,1.235820645667795736459823611,0.7412458421052626995456563463,2.800074125451554368979768940,0.06434319807563612036970457542,-11.20245004179368650642092514,0
5,Ethiopia,0,0,25.58204468481711444717854696,20.37078210425887975710177810,-0.7253778382264668362214326849,-0.7875454607164940253968773193,-18.23397432704111922472331140,1.685186137694099152915060560,21.99822630525257373952712732,1.476912501772115461697145475,-13.33474211572968128067625426,-0.6594228789631893641499050786,7.526328194730949976687836834,-1.782281777399936577376029483,8.644384368790449065905881742,-5.072489593400135785447145011,-14.16143131390124718589767374,-8.710454669671309982880519344,-0.6188934080484744878749641774,-8.086932705565519877087906642
6,Costa Rica,-0.3242493280409532533068743347,-4.735537490225356380097000399,-2.806283572959420376627400959,-2.887309669927052101443710060,0.3979548272461688765519181542,5.447393590795694583301983589,22.98622881552335340372640096,9.241467718744783432036294686,-2.830604628902413454755054772,3.174190796002215482415981276,1.595163185829275968394033129,-0.1178295630488133016152560843,2.904096946530901742162992613,0.2976668243289882581058735244,2.550782345330306204361536075,-4.241840233539016085232663883,-0.4703135068858403148401155110,-1.619153595081648434912306286,-5.740858909368279320740173072,0
8,Cabo Verde,-2.540237421536010364091222204,-2.606447373079621210253422916,-6.333326551719803572086379815,-6.761558106594730454722145551,-24.04098743029943418970300932,1.508725283363158491485187345,-3.352365210496464888655434633,4.330367410592422740147595102,-9.430171438876737417196386849,17.39608126201086736514948304,-15.49041377806735772742665704,-0.8817196522877796189090534572,6.300555222876778478465666682,-1.070701414591793967787148838,-3.406684722208043863909550682,4.248902432972268270931519078,-13.00403087261595676344494841,22.47378357181286627485182594,18.34987285963554528104900352,-22.60232292126471763093905691
9,Peru,4.156249936603614184181544510,0.6831668753174352932236658881,-4.017755307303357638197968672,-6.559280065806068220202928571,-0.8824635390283668489819062071,9.064802358035306375125190446,9.491416639958610748320140134,-8.682968076433128595274087432,-7.107730638978193266042540950,9.733806357213737991119881308,12.81426034738425422079725304,12.09174771908009067330451881,7.395582251856410119403849490,-3.934168067336710762023691034,3.098209195506627766463862855,-5.529704485548719563883560457,2.921704710248420714339600109,11.43120947394565231155084230,-7.798547718701508837555960891,-2.394834164070708216038485148
10,Dominican Republic,-3.623806356300654423492701119,0,0,5.479084138692552894644496130,5.194474509740910897200489449,0,-3.896394803921520204038431943,-4.054369028062761067594360884,-0.4254939356550306097654858591,46.53230975831211362525360105,31.75566524206279813171250259,-0.1584011140713202397050140141,-0.5088198043505766932329032356,6.839419452520292193101012769,1.812026625884464826390874227,-0.05246675230501236360860028802,3.178956377892348255121757328,11.74762490739610061580050043,-17.05259491466401136840743596,5.149232327134779703363937174
11,Guyana,-16.85054920801689455060155697,-20.74440722861497654726713063,47.64772620236186574220433652,-61.68288259599211954887847082,-23.33315267324305963395801056,-5.030802766376179372927040146,-5.297299453843361441500984633,12.03443033214608182314514987,4.038368788192403694180023305,-10.58647570530975543028578402,47.27148085738014854746673013,32.09819075776018068639851797,-10.65584751114757273030334482,21.61485946847394648105821794,-1.540180732628669186134583785,-4.591856709456003167805710698,0,0,0,0
12,Rwanda,0,0,0,0,0,-12.11709501019683960452291724,16.12019205501971643268373697,13.88233327015313239682326084,-5.350797741914796139127431170,0.8570854829364076057879137079,7.263460824119200525041698865,-11.50764167232022811194040044,-13.09014765288588916056363117,-5.820483973137427707722133981,-9.028079381884647254965745384,-1.631811546813656083646185084,5.365777341132785536129231852,2.941391905527714300017408319,67.66483809213232578122290206,-15.09199408160103687031947291
