,country_name,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022
0,Burkina Faso,12.29333767392670867817486676,21.20500975504421416444437274,17.49515948053601047776413611,5.265106787045424473900048717,6.422228753535861534385985735,21.64804766401656792666274122,11.42387638127389122857826083,2.625633693657165594619591776,17.11302561325548127409142289,10.74527464477832668858745590,5.384175117040929445767861662,6.958574952677713256179446771,0.07415103602209550419320371880,10.14982897886093959529491226,7.930999696303410262781919039,8.366547780196939364477109554,9.300956257333350290759092264,10.76479977123787388665063556,21.82838576464504092683503428,3.943403890335683360521255752
1,Cabo Verde,20.63001938790423587835488483,35.29963182927680064598383618,27.06445648681830079119930503,15.19218373165543216001165853,14.17101015702856276285109085,24.06533188970695843255940916,25.37933970758243494907160106,18.14144938665867384497754592,14.03277932566863960576373401,-1.144066416743742259137401665,9.705242346383576297535293452,2.400881284315796509474085028,-5.571790931924199829017429338,2.337677145208746038065188910,0.5087616847298100070601696478,-4.473135179806317470388634917,0,0,0,0
2,Chile,8.075450984835556215847937416,1.861889448971761737647207727,13.41147151054514775228651484,-1.893380879999787102304044522,10.95128654611188330196047099,3.748602592943238981223200836,5.666096533322404505576092320,10.59025303825930650761984975,6.752117576207250374935727938,6.004858092697248841816852853,6.384460874048879191295251397,4.748497076780363044730568056,3.293134683108667326798065123,2.809332925458214746152396771,1.211202066978945013456705440,1.418440378220216028761316534,0.9523203202827558067351324337,-3.208007842038113403104983106,7.979022875729680903868004596,3.236745243501564652107472161
3,Colombia,5.639401460378989987818068588,5.338350447294136130661282840,9.322699118391006916733091657,6.548749306195275074463932557,3.236667400755984200505811145,6.951444677502674568820100360,4.121774580924006299899756066,5.114987503614619364960805430,9.048133171742534963342328018,4.812959313169049056373458612,6.911115295462554906856639753,4.792255969450815329820120877,3.040068874733565306481204814,4.284277109427573076950856480,2.191477895266499830264477694,-1.841735250949708736288168809,-1.141370333861360996867540879,-1.646822147099113655005729846,4.634253016748772697347744730,1.670584004140918438596016168
6,Cuba,18.71069916638144192695943579,61.09620658250357485032743704,14.70037550491913313531136879,41.10613785057066323573030698,24.08321880837134428255003678,11.67391290502057340161689316,-2.745092803607921186240504775,-17.74477473550010500732413116,-16.08531843522915155883590161,-21.88294590549908904574187974,-22.25075695415901232146987550,-15.59298491805226570508261111,-10.59999670432373527755715975,-4.862065050265072478752722428,17.34017769553757371118709910,2.875765514533232140835142454,5.768564976512292178022949314,4.400918951798289766575937003,11.20977554452777905825014033,-18.78419126007704124776950737
10,Ghana,0,0,0,-9.752087433014149192962136087,25.01880658326830614965054058,34.65141753157518364139105009,5.378698888379223109629290038,18.73609248941814092695572741,15.77961013925729199330670170,2.468614872469304677468476704,2.905298389764430398383846096,29.31821841027047823934214406,3.379926915551906716067066154,-9.615667294662378261649094442,15.13731845793533391460760014,-2.142476131161347478017205317,8.856761993368315898520368607,6.968212149627658230010534927,2.882769271680138029536943114,6.272235337414339705851462616
12,Mauritius,4.189465027541029421742508988,9.692839337131822520990395840,21.79830201169258769611608787,12.12418509679511382431487219,3.890584232024315076781054947,10.20782325728965913765982823,16.17695846524620138847268841,5.352368967723804712554085649,3.465897945748051308639796936,17.96397435031500279455055355,2.544772318274134324386971203,-3.294979421638783390717637370,-5.688222707539403356253629302,1.721449504084082704204376007,3.257185584527323456982852550,1.880722015049347638034354814,6.385050409882763712270032620,-1.046870834816723573493963049,3.337921844061233162108646368,0.5572558373923448460666554885
13,Mozambique,35.30364823295243088685523591,23.76620372919788865338382200,23.23430289366074150063438462,48.05963336895196411745904058,42.30095429604681809060844464,15.26222390481456059288668507,8.311314962526140151193259609,20.24421448030744524354846758,6.115813186253957241380910038,5.721896620403202732107982727,7.106407907788802756688566972,11.21370540887595387071985688,7.251821375643851608856770367,8.485410934238954370050330004,-1.995830651840951216214836641,2.950510012826342976379870843,-2.047268806030811484939632705,0,0,0
14,Panama,8.610363818360636716812721526,-2.691384065517381227170063152,-3.176246894187920734033433027,2.423999774973678266691623269,0.4609523096211961533968525474,0.2751763408699450595784756603,-0.2542317149086806030929065378,2.315746636995428752044728346,-4.573708793555780053067767978,4.454456196655458746267732279,1.283115478304726643750176375,1.266860199002839152361355661,6.593685049924101033989219011,1.660679607903088638196770096,0,0,-3.599153237119887770490653386,-3.733528654548882465769282269,17.30166837841881111790952676,9.669075600628058804056361151
16,Rwanda,25.08627398533962411473198767,16.65854946754889659310477469,4.379664683518517921765889907,27.74979294999753307969410425,6.676001885982969563415736479,7.657785577536872620793808985,21.25077245224118492812929169,13.82612674535554142739030937,18.43112557264406334851653782,-1.869763607063455951109191092,-7.122853442540630395445612723,18.08764849389919402239118885,2.345953851522322774739448398,0.6216785225136597510373443983,-3.077169445831440301363075526,-7.950164022974188544813863199,-6.606468557855043786840891727,19.84086876132112055226446433,-2.742341388836256967757982577,0.7293299340352724705130666193
19,Uruguay,5.506728372729656543563292488,2.400786560944195391212023425,3.783556636898975996416578392,2.154644387972652868488874055,11.14281613286109262782609008,1.330818066168954955050559719,-0.2329484178604042396898826984,1.854243035403499439665011990,1.286199825455182940060842390,4.092960010068795884701729827,9.586267094937270745427404113,-0.2077709636434606149606878254,-3.404800420322164923572721363,3.212632353279050958428132759,0.1770411035054214360768812040,0.8807107485322559184903018784,2.797535684790427368862383619,4.791116552705985850155588619,15.76722488631373830576232949,1.631413972627712453962624471
20,World,5.406521736812100555205262072,4.109446412908218889664151624,3.218687112400299316831756336,4.271013204522907133972539678,3.966129929071376123737500695,4.064374377619810194298418286,3.499202894781156174888859692,4.783439511416709086347431948,5.492334977876431465849466364,3.581581162223857523786046750,2.610631112413219441870949506,7.582499560771077648367898216,3.037552818834838777265361178,1.497885297129689950013561268,1.007517110751965046247882711,1.019640556221727232152960042,2.200808068892280479134318936,2.533463291523190278992169249,3.261116771501266728552127112,2.316822553908792794210967551
